asin,categories/0/0,description,title,price,salesRank/Books,imUrl,genre
60648791,Books,To listen to him or to read his thoughts is to face oneself and the world with an astonishing morning freshness. --Anne Morrow Lindbergh,The Book of Life: Daily Meditations with Krishnamurti,10.23,69371,http://ecx.images-amazon.com/images/I/91jJRCCi2ZL.jpg,Philosophy
62024329,Books,"Brazilian novelist Coelho 1988 myth-laden story of the shepherd who follows his &#xFFFD;Personal Legend&#xFFFD; in spite of assorted travails is rendered into a richly colored and faithful sequential-art version. With Santiago, we see the glories, the mysteries, and the threats along his way from the Andalusian pasture to foreign cities to Egypt; experience his devotion to reading and his attraction to mysterious women; and watch as he reads omens with the help of magical stones and other artifacts given to him by the various wise men he meets. Although the landscapes, city crowds, and animals are gorgeously rendered, the faces can be jarring&#xFFFD;even in his youth, Santiago (and everyone else) has dark lines awkwardly scattered on his cheeks and forehead in lieu of expressive changes. Because facial close-ups are essential to our seeing Santiago and to what Santiago sees, this is disconcerting, but otherwise, this adaptation provides a long-popular novel an interesting new life. --Francisca Goldsmith",The Alchemist: A Graphic Novel,15.15,5423,http://ecx.images-amazon.com/images/I/51rdZCsNqdL.jpg,Fiction
62513346,Books,"There is enough interest in angels to ensure this peculiar little book a significant audience. It traces a spiritual journey of sorts, stereotypically cast as a journey into the desert, that embodies a New Age conception of liberation as liberation from the past in confrontation with oneself. The ritual that demolishes rituals, which is the climax of the book, is all done with mirrors. As Simone de Beauvoir would note, the mirrors are women--and that calls into question both the newness of the story and the age it heralds. But it is a strange tale many will find compelling.Steve Schroeder--This text refers to an out of print or unavailable edition of this title.",The Valkyries,9.78,48557,http://ecx.images-amazon.com/images/I/91rbza-rpcL.jpg,Fiction
60832819,Books,"The press chat cites 65 million copies of Coelhos eight previous novels in print, making the Brazilian author one of the worlds bestselling novelists (150 countries and 56 languages). This book, whose title means the present or unable to go unnoticed in Arabic, has an initial staggered laydown of eight million copies in 83 countries and 42 languages. It centers on the narrators search for his missing wife, Esther, a journalist who fled Iraq in the runup to the present war, only to disappear from Paris; the narrator, a writer, is freed from suspicion when his lover, Marie, comes forward with a (true) alibi. He seeks out Mikhail, the man who may be Esthers most recent lover and with whom she was last seen, who has abandoned his native Kazakhstan for a kind of speaking tour on love. Mikhail introduces the narrator to a global underground tribe of spiritual seekers who resist, somewhat vaguely, conventional ways of living. Through the narrators journey from Paris to Kazakhstan, Coelho explores various meanings of love and life, but the impact of these lessons is diminished significantly as they are repeated in various forms by various characters. Then again, 65 million readers cant be wrong; the spare, propulsive style that droveThe Alchemist,Eleven Minutesand Coelhos other books will easily carry fans through myriad iterations of the ways and means ofamor.(Sept.)Copyright &copy; Reed Business Information, a division of Reed Elsevier Inc. All rights reserved.--This text refers to an out of print or unavailable edition of this title.",The Zahir: A Novel of Obsession (P.S.),6.99,36355,http://ecx.images-amazon.com/images/I/518PYhfuDpL.jpg,Fiction
61338818,Books,"Multimillion-seller Coelho (The Devil and Miss Prym, etc.) returns with another uncanny fusion of philosophy, religious miracle and moral parable. The Portobello of the title is Londons Portobello Road, where Sherine Khalil, aka Athena, finds the worship meeting shes leading&mdash;where she becomes an omniscient goddess named Hagia Sophia&mdash;disrupted by a Protestant protest. Framed as a set of interviews conducted with those who knew Athena, who is dead as the book opens, the story recounts her birth in Transylvania to a Gypsy mother, her adoption by wealthy Lebanese Christians; her short, early marriage to a man she meets at a London college (one of the interviewees); her son Viorels birth; and her stint selling real estate in Dubai. Back in London in the books second half, Athena learns to harness the powers that have been present but inchoate within her, and the story picks up as she acquires a teacher (Deidre ONeill, aka Edda, another interviewee), then disciples (also interviewed), and speeds toward a spectacular end. Coelho veers between his signature criticism of modern life and the hydra-headed alternative that Athena taps into. Athenas earliest years dont end up having much plot, but the second halfs intrigue sustains the book.(May)Copyright &copy; Reed Business Information, a division of Reed Elsevier Inc. All rights reserved.--This text refers to an out of print or unavailable edition of this title.",The Witch of Portobello: A Novel (P.S.),11.49,26586,http://ecx.images-amazon.com/images/I/413mWNx%2B51L.jpg,Fiction
64472078,Books,"Sometimes, even in the middle of ugliness and neglect, a little bit of beauty will bloom. Award-winning writer Paul Fleischman dazzles us with this truth inSeedfolks--a slim novel that bursts with hope. Wasting not a single word, Fleischman unfolds a story of a blighted neighborhood transformed when a young girl plants a few lima beans in an abandoned lot. Slowly, one by one, neighbors are touched and stirred to action as they see tendrils poke through the dirt. Hispanics, Haitians, Koreans, young, and old begin to turn the littered lot into a garden for the whole community. A gift for hearts of all ages, this gentle, timeless story will delight anyone in need of a sprig of inspiration.--This text refers to theHardcoveredition.",Seedfolks,4.28,4717,http://ecx.images-amazon.com/images/I/51kF7-EOqJL.jpg,Fiction
60088877,Books,"Few novels identify their basic plotline as succinctly and forthrightly as the opening line of Thornton Wilder&#x2019;s 1927 novel, The Bridge of San Luis Rey: &#x201C;On Friday noon, July the twentieth, 1714, the finest bridge in all Peru broke and precipitated five travellers into the gulf below.&#x201D; The novel&#x2019;s conceit is this: a certain Brother Juniper was himself about to step out onto the bridge when it broke and subsequently witnessed the plunge of five people into the abyss below. Brother Juniper wonders if the tragedy happened according to a divine plan or was simply a random instance of misfortune. His curiosity leads him to investigate the lives of the five victims to prove that the bridge collapse and the resulting deaths were indeed divine intervention&#x2014;that God intended for them to die then and there. But, of course, the point of the novel is that there is no commonality among them, other than the fact that they are all simply human, with their own frailties. Wilder ends his at-once urgent and serene novel with this haunting passage: &#x201C;But soon we shall die and all memory of these five will have left the earth, and we ourselves shall be loved for a while and forgotten. But the love will have been enough; all those impulses of love return to the love that made them. Even memory is not necessary for love. There is a land of the living and a land of the dead, and the bridge is love, the only survival, the only meaning.&#x201D; --Brad Hooper--This text refers to theHardcoveredition.",The Bridge of San Luis Rey (Perennial Classics),8.99,28064,http://ecx.images-amazon.com/images/I/51K8bdn3mxL.jpg,Classics
60850523,Books,"&quot;Community, Identity, Stability&quot; is the motto of Aldous Huxleys utopian World State. Here everyone consumes daily grams of soma, to fight depression, babies are born in laboratories, and the most popular form of entertainment is a &quot;Feelie,&quot; a movie that stimulates the senses of sight, hearing, and touch. Though there is no violence and everyone is provided for, Bernard Marx feels something is missing and senses his relationship with a young women has the potential to be much more than the confines of their existence allow. Huxley foreshadowed many of the practices and gadgets we take for granted today--lets hope the sterility and absence of individuality he predicted arent yet to come.--This text refers to an out of print or unavailable edition of this title.",Brave New World,5.12,90,http://ecx.images-amazon.com/images/I/410JtTsdiUL.jpg,History
61097314,Books,"Feisty Marietta Greer changes her name to Taylor when her car runs out of gas in Taylorville, Ill. By the time she reaches Oklahoma, this strong-willed young Kentucky native with a quick tongue and an open mind is catapulted into a surprising new life. Taylor leaves home in a beat-up 55 Volkswagen bug, on her way to nowhere in particular, savoring her freedom. But when a forlorn Cherokee woman drops a baby in Taylors passenger seat and asks her to take it, she does. A first novel, The Bean Trees is an overwhelming delight, as random and unexpected as real life. The unmistakable voice of its irresistible heroine is whimsical, yet deeply insightful. Taylor playfully names her little foundling Turtle, because she clings with an unrelenting, reptilian grip; at the same time, Taylor aches at the thought of the silent, staring childs past suffering. With Turtle in tow, Taylor lands in Tucson, Ariz., with two flat tires and decides to stay. The desert climate, landscape and vegetation are completely foreign to Taylor, and in learning to love Arizona, she also comes face to face with its rattlesnakes and tarantulas. Similarly, Taylor finds that motherhood, responsibility and independence are thorny, if welcome, gifts. This funny, inspiring book is a marvelous affirmation of risk-taking, commitment and everyday miracles.Copyright 1988 Reed Business Information, Inc.--This text refers to an out of print or unavailable edition of this title.",The Bean Trees: A Novel,4.99,3440,http://ecx.images-amazon.com/images/I/61zLHo84HRL.jpg,Fiction
61374814,Books,"Praise for Paulo Coelho: An exceptional writer. USA Today His books have had a life-enhancing impact on millions of people. Times One of the few to deserve the term Publishing Phenomenon Independent on Sunday Coelhos writing is beautifully poetic but his message is what counts...he gives me hope and puts a smile on my face. Daily Express The Alchemist is a beautiful book about magic, dreams and the treasures we seek elsewhere and then find on our doorstep. Madonna--This text refers to an alternateHardcoveredition.",Life: Selected Quotations,14.28,61470,http://ecx.images-amazon.com/images/I/511YGrx0MwL.jpg,Fiction
006096393X,Books,`This new edition has all the expertise one expects of sucha volume. Contemporary Review March 2001 --Wordsworth Editions--This text refers to an alternatePaperbackedition.,"The Complete Works of Oscar Wilde: Stories, Plays, Poems &amp; Essays",18.96,58177,http://ecx.images-amazon.com/images/I/61xkwTu3UbL.jpg,Classics
62513796,Books,"Andrew Harvey, is a poet, writer, teacher, mystic, and author of many books, includingA Journey in LadakhandReturn of the Mother.An ex-fellow of All Souls College, Oxford, and currently visiting professor at the California Institute of Integral Studies, Harvey has a loyal following among both spiritual and mainstream literary audiences.",The Essential Mystics : Selections from the Worlds Great Wisdom Traditions,12.59,102920,http://ecx.images-amazon.com/images/I/51yftYSVvLL.jpg,Classics
61826693,Books,"Dani Shapiro was rescued by tragedy. At the age of 23 she is a wreck. A Sarah Lawrence college dropout, she is living as the mistress--one of many, she would later find out--of her best friends stepfather, Lenny, a high-profile New York City lawyer. It is the height of the excessive 80s, and Lenny goes to extravagant lengths to keep his woman--putting her up in a large downtown apartment, draping her in furs and flashy gems, and spiriting her away by Concorde to Paris for weekend flings. When she isnt with Lenny, Shapiro leisurely courts an acting and modeling career and actively pursues her drug dealer, who delivers cocaine to her door. She is at an expensive spa in California--at a far remove from the middle-class, orthodox Jewish home in which she was raised--when, one snowy night, her parents car careens into a highway median. When she returns to New Jersey, to her parents hospital bedsides, she begins the journey to discover and mine her inner strength. She succeeds, and though the process is as arduous as it is painful, Shapiro finds within herself the power to nurse her mother through nearly 100 broken bones, to survive her fathers death, and to reset the course of her life.Slow Motionends where its subjects troubles began: with Shapiro, newly single, re-enrolling as an undergrad at Sarah Lawrence.Shapiro, who is the author of three previous novels, writes sparely and lacks the excessive self-consciousness that plagues some memoirs. She develops her story carefully, drawing readers ever closer into her most intimate thoughts and fears. This honest, and sometimes brutal account of loss and recovery is an inspiration.--This text refers to an out of print or unavailable edition of this title.",Slow Motion: A Memoir of a Life Rescued by Tragedy,8.3,91231,http://ecx.images-amazon.com/images/I/41HD39Ort8L.jpg,Biography
006084597X,Books,"Coleman Barksis a renowned poet and the bestselling author ofThe Essential Rumi,The Soul of Rumi,Rumi: The Book of Love, andThe Drowned Book. He was prominently featured in both of Bill Moyerss PBS television series on poetry,The Language of LifeandFooling with Words. He taught English and poetry at the University of Georgia for thirty years, and he now focuses on writing, readings, and performances. This book is the culmination of over thirty years of Barkss work on Rumis seminal classic.",A Year with Rumi: Daily Readings,11.89,8671,http://ecx.images-amazon.com/images/I/61U6oF7IoHL.jpg,Spiritual
60523166,Books,"The Sufi mystic Rumi has sold more than half a million volumes of his poetry-no small feat, considering that he lived in the 13th century. In this collection, poet Coleman Barks offers a funny, iconoclastic preface in which he attempts to tease out the reasons for Rumis contemporary renaissance. He also warns readers that what follows will not be a pretty, happy book of love poetry: This is not Norman Vincent Peale urging cheerfulness, conventional morality, and soft-focus, white-light, feel-good...New Age tantric energy exchange. This is giving your life to the one within that you know as LORD, which is a totally private matter. Rumi, he writes, is not the stuff of greeting cards. The poetry, accessibly translated and arranged by Barks, is organized by loose themes such as loves discipline, the new life with the beloved, sudden wholeness, and loves excess.Copyright 2002 Reed Business Information, Inc.",Rumi: The Book of Love: Poems of Ecstasy and Longing,9.78,40169,http://ecx.images-amazon.com/images/I/41Q0W5RXN5L.jpg,Spiritual
61338168,Books,"Coleman Barksis a renowned poet and the bestselling author ofThe Essential Rumi,The Soul of Rumi,Rumi: The Book of Love, andThe Drowned Book. He was prominently featured in both of Bill Moyerss PBS television series on poetry,The Language of LifeandFooling with Words. He taught English and poetry at the University of Georgia for thirty years, and he now focuses on writing, readings, and performances. This book is the culmination of over thirty years of Barkss work on Rumis seminal classic.",Rumi: Bridge to the Soul: Journeys into the Music and Silence of the Heart,3.79,104598,http://ecx.images-amazon.com/images/I/51rde-GAiOL.jpg,Spiritual
60604522,Books,"When Rumi was born in Afghanistan in 1207, it was a time of tremendous  political turmoil in the Near East. Paradoxically, it was also a time of  brilliant mystical awareness, writes translator Coleman Barks inThe Soul  of Rumi. This brilliance shines through in every passage, as Barks  celebrates the ecstatic nature of Rumis poetry. Barks (The Essential Rumi) has been  given much credit for leading modern Westerners to this astounding poet. His  sensitivity to the reader is evidenced in how he organizes the poetry according  to themes. Since Rumi is often quoted at public gatherings, such as weddings and  memorial services, this makes referencing especially easy. In the section  entitled When Friend Meets Friend, readers find the poem The Souls Friend:The most living moment comes when those who love each other meet  each others eyes and in what flows between them then. To see your face in a crowd of others, or alone on a  frightening street, I weep for that&#x85;.Barks offers a gracefully rendered introduction to each section, providing  personal and historical background of the poetry. Elegantly designed and printed  on cream-colored, heavy-stock paper, this is a delight for Rumi fans.--Gail  Hudson--This text refers to an out of print or unavailable edition of this title.",The Soul of Rumi: A New Collection of Ecstatic Poems,11.04,112825,http://ecx.images-amazon.com/images/I/41u3ZPGLFRL.jpg,Poetry
000783943X,Books,,The Delux Collection - Paulo Coelho: Box Set,8.69,130980,http://ecx.images-amazon.com/images/I/512PV9-NoRL.jpg,Fiction
60565713,Books,[This] Brazilian wizard makes books disappear from stores.&#8221; (New York Times)&#8220;[His] books have had a life-enchanting effect on millions of people.&#8221; (London Times),Manual del Guerrero de la Luz (Spanish Edition),6.64,23402,http://ecx.images-amazon.com/images/I/51AsLh4A6dL.jpg,Classics
61578932,Books,"Coelhos brilliant tale of young Brida, an Irish girl who wishes to become a witch, is a compelling and vivid fantasy epic. Sadly, narrator Linda Emonds uninspired and monotonous reading is a disservice to this fantastic tale. Though the story is set in Ireland during the mid-80s, Emond makes no attempt at a regional dialect or even the slightest shift in tone for any of the characters. Her narrative voice is dull and uninspired, read with a soft whisper that will surely put most listeners to sleep before it ignites their imaginations. The story would be much better served with a narrator more willing to put their performance skills to the test and dive into the story.A Harper hardcover (Reviews, Apr. 28). (July)Copyright &copy; Reed Business Information, a division of Reed Elsevier Inc. All rights reserved.--This text refers to an out of print or unavailable edition of this title.",Brida: A Novel,10.99,119141,http://ecx.images-amazon.com/images/I/51Gpi1%2BrsbL.jpg,Fiction
142180300,Books,"When the media announced in early July 2012 that researchers had finally confirmed the existence of the elusive Higgs boson, aka &#x201C;the God particle,&#x201D; physicists around the world hailed the discovery as a major scientific breakthrough. To California Institute of Technology researcher Carroll (From Eternity to Here, 2010), the event gave another opportunity to demonstrate what he does best, translating complicated ideas into lay-friendly language. In describing how the Higgs boson was detected after decades of theoretical speculation, Carroll covers a wide swath of science, from the Big Bang to quantum mechanics, as well as the thorny politics behind funding the Large Hadron Collider in Switzerland, where experiments established the particle&#x2019;s existence. Along with an overview of abstract concepts like supersymmetry, Carroll more lightheartedly explains why Hollywood loves science and why the world wasn&#x2019;t likely to end if the collider inadvertently created a mini-black-hole. A first-rate physics guide that enlarges our understanding of the universe we live in. --Carl Hays--This text refers to an out of print or unavailable edition of this title.",The Particle at the End of the Universe: How the Hunt for the Higgs Boson Leads Us to the Edge of a New World,13.24,18034,http://ecx.images-amazon.com/images/I/51KaQ9nPIjL.jpg,Reseach Magazines/Technical magazines
71821929,Books,"&#8220;In all, beautifully written and wonderfully inspiring.&#8221; (The Wall Street Journal)",Sea Trials: A Lone Sailors Race Toward Home,11.99,37214,http://ecx.images-amazon.com/images/I/51usnJULZML.jpg,Biography
99427869,Books,The five books that changed my life Woman,Illusions: The Adventures of a Reluctant Messiah,5.99,7215,http://ecx.images-amazon.com/images/I/41mSRGXJmWL.jpg,Philosophy
60589469,Books,"In his now classicZen and the Art of Motorcycle Maintenance, Robert Pirsig brings us a literary chautauqua, a novel that is meant to both entertain and edify. It scores high on both counts.Phaedrus, our narrator, takes a present-tense cross-country motorcycle trip with his son during which the maintenance of the motorcycle becomes an illustration of how we can unify the cold, rational realm of technology with the warm, imaginative realm of artistry. As in Zen, the trick is to become one with the activity, to engage in it fully, to see and appreciate all details--be it hiking in the woods, penning an essay, or tightening the chain on a motorcycle.In his autobiographical first novel, Pirsig wrestles both with the ghost of his past and with the most important philosophical questions of the 20th century--why has technology alienated us from our world? what are the limits of rational analysis? if we cant define the good, how can we live it? Unfortunately, while exploring the defects of our philosophical heritage from Socrates and the Sophists to Hume and Kant, Pirsig inexplicably stops at the middle of the 19th century. With the exception of Poincar&eacute;, he ignores the more recent philosophers who have tackled his most urgent questions, thinkers such as Peirce, Nietzsche (to whom Phaedrus bears a passing resemblance), Heidegger, Whitehead, Dewey, Sartre, Wittgenstein, and Kuhn. In the end, the narrators claims to originality turn out to be overstated, his reasoning questionable, and his understanding of the history of Western thought sketchy. His solution to a synthesis of the rational and creative by elevating Quality to a metaphysical level simply repeats the mistakes of the premodern philosophers. But in contrast to most other philosophers, Pirsig writes a compelling story. And he is a true innovator in his attempt to popularize a reconciliation of Eastern mindfulness and nonrationalism with Western subject/object dualism. The magic ofZen and the Art of Motorcycle Maintenanceturns out to lie not in the answers it gives, but in the questions it raises and the way it raises them. Like a cross betweenThe Razors EdgeandSophies World,Zen and the Art of Motorcycle Maintenancetakes us into the high country of the mind and opens our eyes to vistas of possibility.--Brian Bruya--This text refers to an out of print or unavailable edition of this title.",Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values,4.99,989,http://ecx.images-amazon.com/images/I/41R134QbZPL.jpg,Reseach Magazines/Technical magazines
62511637,Books,"Daniel Matts continued wonder at the confounding brilliance of kabbalistic writings is evident in this loving presentation of the key texts from the Jewish mystical tradition. This fine sampling of works from the earliest medieval European texts to 20th-century interpretations includes poems, symbolic stories, meditations, and ruminations by such important figures as Moses de Leon, Moses Cordovero, Isaac Luria, and Abraham Isaac Kook. Matts translations have both a spareness and a poetic flair that makes reading these highly esoteric selections a richly moving experience.The words of 14th-century mystic Shem Tov ibn Shem Tov, for example, are rendered with a startling immediacy: &quot;How did God create the world?  Like a person taking a deep breath and holding it, so that the small contains the large. Similarly God contracted his light to a divine handbreadth, and the world was left in darkness. In the darkness God carved cliffs and hewed rocks to clear the wondrous paths of wisdom.&quot; A short introduction traces the history of Kabbalah, explaining its salient concepts and symbols, and extensive notes provide background on the featured texts and writers. A brief bibliography is provided for those who will want to savor more of these extraordinary texts after tasting their richness in this collection.--Uma Kukathas--This text refers to an out of print or unavailable edition of this title.",The Essential Kabbalah: The Heart of Jewish Mysticism,9.78,36775,http://ecx.images-amazon.com/images/I/61Avoby-1tL.jpg,Spiritual
006162599X,Books,"Despite the popularity of Sufism, few books provide an overview of this mystical branch of Islam&mdash; a void Nasr, professor of Islamic Studies at George Washington University, fills nicely, albeit briefly, with this concise primer. Sufism teaches that all aspects of life&mdash;from nature to other people&mdash;are signs of God, and yet the grandeur of God is beyond human comprehension. The goal of each Sufi is to take an inner journey to transcend the human state, to illuminate the dark corners of our soul and reconnect with the inner divinity implanted by God at creation. Nasrs book is not a how-to introduction on removing the veils erected by imperfection, which manifest as evil and block our divine roots, but a wise and tantalizing overview. He also includes a detailed and rare history of the Sufi movement and a brief catalogue of the various Sufi orders. Although readers with no prior background in Sufism may struggle with this rather dense intellectual study of the movement, it provides valuable information about the often overlooked philosophical underpinnings of Sufism along with obscure details that will be fascinating to more advanced practitioners.(Sept.)Copyright &copy; Reed Business Information, a division of Reed Elsevier Inc. All rights reserved.--This text refers to theHardcoveredition.","The Garden of Truth: The Vision and Promise of Sufism, Islams Mystical Tradition",9.78,263711,http://ecx.images-amazon.com/images/I/515yUYMg6VL.jpg,Spiritual
142196355,Books,"Douglas-Klotz, scholar and Sufi leader, uses his considerable Semitic language skills to explore the 99 pathways to God, each representing a quality of the One. Douglas-Klotz uses the root and pattern system of Arabic vowels to liberally interpret these qualities as inseparable from many other traditions, notably the Aramaic tradition of Jesus. Additionally, his exegeses draw from the tradition of diversity, inclusion and heterodoxy that has anchored Sufism since the time of Rumi. Although Douglas-Klotz states that his exegeses are meant to be deliberately multivalent and somewhat enigmatic, they may prove opaque for many readers, especially those expecting an accessible how-to handbook for the modern dervish. Despite Douglas-Klotzs early admonishment Dont worry about getting the point, a high level of linguistic technicality is typical of at least half the pathways, and readers will have to take him at his word when he draws complex connections. Nonetheless, his intriguing insights, meditation tips and, above all, his inclusive spirit should trump technical details to appeal to readers within many religious traditions. Appendixes offer short biographies of Sufi men and women throughout history; contact information for Sufi organizations, orders and centers; and formal transliterations of the 99 pathways.Copyright &copy; Reed Business Information, a division of Reed Elsevier Inc. All rights reserved.",The Sufi Book of Life: 99 Pathways of the Heart for the Modern Dervish,11.84,71191,http://ecx.images-amazon.com/images/I/51K4dZz6i1L.jpg,Spiritual
